title,description,link
"Solar Facilities in Nevada, USA","Image captured on Dec. 1, 2021, by the MSI instrument, aboard ESA's Sentinel-2A and -2B satellites.",/worldview/worldview-image-archive/solar-facilities-in-nevada-usa
"Mississippi River, USA","Image captured on 31 May 2020, by the MODIS instrument, aboard the Terra satellite.",/worldview/worldview-image-archive/mississippi-river-usa
"Hurricane Harvey over Texas, USA","Image captured on 27 August 2017, by the MODIS instrument, aboard the Terra satellite.",/worldview/worldview-image-archive/hurricane-harvey-over-texas-usa
Fires Across the Western USA,"Image captured on 7 September 2020, by the VIIRS instrument, aboard the joint NASA/NOAA NOAA-20 satellite.",/worldview/worldview-image-archive/fires-across-the-western-usa
High Aerosol Index over USA,"Image captured on 13 September 2020, by the OMPS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",/worldview/worldview-image-archive/high-aerosol-index-over-usa
"Fires in Northern California, USA","Image captured on 9 October 2017, by the MODIS instrument, aboard the Terra satellite.",/worldview/worldview-image-archive/fires-in-northern-california-usa
"Ferguson Fire, California, USA","Image captured on 15 July 2018, by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",/worldview/worldview-image-archive/ferguson-fire-california-usa
"Agriculture in Eastern Washington, USA","Image captured on 19 July 2020, by the MODIS instrument, aboard the Aqua satellite.",/worldview/worldview-image-archive/agriculture-in-eastern-washington-usa
"Bingham Canyon Mine, USA","Image captured on 20 April 2021, by the MSI instrument, aboard the Sentinel-2 satellite, as part of the HLS project.",/worldview/worldview-image-archive/bingham-canyon-mine-usa
"The Great Lakes, USA and Canada","Image captured on 25 March 2018, by the MODIS instrument, aboard the Terra satellite.",/worldview/worldview-image-archive/the-great-lakes-usa-and-canada
Smoke from fires in western USA,"Image captured on 29 July 2018, by the MODIS instrument, aboard the Terra satellite.",/worldview/worldview-image-archive/smoke-from-fires-in-western-usa
"Finger Lakes, New York, USA","Image captured on 22 February 2020, by the MODIS instrument, aboard the Aqua satellite.",/worldview/worldview-image-archive/finger-lakes-new-york-usa
"Sherpa Fire, Santa Barbara, CA, USA","Image captured on 17 June 2016 by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",/worldview/worldview-image-archive/sherpa-fire-santa-barbara-county-ca-usa
"Bands of snow in Iowa, USA","Image captured on 18 November 2018, by the MODIS instrument, aboard the Aqua satellite.",/worldview/worldview-image-archive/bands-of-snow-in-iowa-usa
"Chlorophyll a along the Mid-Atlantic coast, USA","Image captured on 27 May 2019, by the MODIS instrument, aboard the Terra satellite.",/worldview/worldview-image-archive/chlorophyll-a-along-the-mid-atlantic-coast-usa
"Fall colors in the Mid Atlantic region, USA","Image captured on 6 November 2016 by the MODIS instrument, aboard the Terra satellite.",/worldview/worldview-image-archive/fall-colors-in-the-mid-atlantic-usa
Nor'easter over the east coast of the USA,"Image captured on 2 March 2018, by the VIIRS instrument, aboard the joint NOAA/NASA Suomi NPP satellite.",/worldview/worldview-image-archive/nor-easter-over-the-east-coast-of-the-usa
"Donnell, Ferguson, and Lions Fire, CA, USA","Image captured on 5 August 2018, by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",/worldview/worldview-image-archive/donnell-ferguson-and-lions-fire-ca-usa
"Chesapeake Bay, USA—2020","Image captured on 10 May 2020, by the MODIS instrument, aboard the Aqua satellite.",/worldview/worldview-image-archive/chesapeake-bay-usa-2020-05-11
"Chesapeake Bay, USA—2016","Image captured on 10 April 2016 by the MODIS instrument, aboard the Terra satellite.",/worldview/worldview-image-archive/chesapeake-bay-usa
"Lake Mead, Nevada, USA","Images captured on Sep 6 and Sep 4, 2021, by the MODIS instrument aboard the Terra satellite.",/worldview/worldview-image-archive/lake-mead-nevada-usa
"Fires in Washington State, USA","Image captured on Oct 16, 2022, by the MODIS instrument aboard NASA's Aqua satellite.",/worldview/worldview-image-archive/washington-state-fires-16-october-2022
"Fires in New Mexico, USA","Image captured on Apr 23, 2022, by the VIIRS instrument aboard the joint NASA/NOAA Suomi NPP satellite.",/worldview/worldview-image-archive/fires-in-new-mexico-usa
"Heavy Rains over Texas, USA","Image captured on Aug 22, 2022, by the VIIRS instrument aboard the joint NASA/NOAA NOAA-20 satellite.",/worldview/worldview-image-archive/heavy-rains-texas-22-august-2022
Tropical Storms Nora and Ida,"Image captured on 29 August 2021, by the VIIRS instrument, aboard the joint NASA/NOAA NOAA-20 satellite.",/worldview/worldview-image-archive/tropical-storms-nora-and-ida
,,/eosdis/daacs/ornl
EOSDIS New Datasets: October 2021,,/eosdis/eosdis-data-news-archive/eosdis-data-news-october-2021
About AMSR2 SIPS,,/learn/find-data/near-real-time/lance/about-amsr2-sips
EOSDIS New Datasets: September 2021,,/eosdis/eosdis-data-news-archive/eosdis-data-news-september-2021
FIRMS FAQ,Frequently Asked Questions for NASA's Fire Information for Resource Management System (FIRMS),/faq/firms-faq
EOSDIS New Datasets: May 2022,,/eosdis/eosdis-data-news-archive/eosdis-data-news-may-2022
NASA Announces Winners of 2022 Global Space Apps Challenge,Ten teams from around the globe took home top honors in the world’s largest annual hackathon addressing real-world problems on Earth and in space.,/news/2022-space-apps-challenge-winners
EOSDIS New Datasets: February 2021,,/eosdis/eosdis-data-news-archive/eosdis-data-news-february-2021
FIRMS Frequently Asked Questions,,/faq/firms-faq
Tracking Ocean Plastic From Space,Researchers are using satellite data and machine learning to map microplastic concentrations across the ocean.,/learn/articles/ocean-plastic
Worldview Snapshots Links to Rapid Response Subsets,"To assist in the transition from NASA's Rapid Response Subsets, this list of links is provided for users to go to the corresponding area in Worldview Snapshots.",/worldview-snapshots-links-rapid-response-subsets
A Long-Term Consistent Multi-Satellite Soil Moisture ESDR with Uncertainty Information,,/esds/competitive-programs/measures/long-term-soil-moisture-esdr
Phytoplankton Swirls in Lake Michigan,"Image captured on Oct 22, 2022 by the MSI instrument aboard the ESA (European Space Agency) Sentinel-2A and -2B satellites.",/worldview/worldview-image-archive/lake-michigan-phytoplankton-22-oct-2022
Legal,"Legal web privacy, data and information, communications, and Freedom of Information Act policies.",/legal
EOSDIS New Datasets: September 2020,,/eosdis/eosdis-data-news-archive/eosdis-data-news-september-2020
,,/eosdis/daacs/gesdisc
Near Real-Time MODIS Global Flood Product Now Available from NASA’s LANCE,New Near Real-Time (NRT) Global Flood Mapping product from LANCE will continue production of data critical for detecting floods around the globe.,/learn/articles/lance-nrt-global-flood
